"1 star","1 estrella"
"2 stars","2 estrellas"
"3 stars","3 estrellas"
"4 stars","4 estrellas"
"5 stars","5 estrellas"
"Add New Rating","Agregar Nueva Calificación"
"Assigned Options","Opciones Asignadas"
"Be the first to review this product","Sea el primero en realizar un comentario de este art�culo"
"Default Value","Valor Predeterminado"
"Delete Rating","Borrar Calificación"
"Edit Rating","Editar Calificación"
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","Si no especifica un título para la calificación en cada tienda, se usara el valor predeterminado."
"Manage Ratings","Administrar Calificaciones"
"New Rating","Nueva Calificación"
"Option Label","Etiqueta Opcional"
"Option Title","Título Opcional"
"Option Title:","Título Opcional:"
"Please select one of each ratings above","Por favor selecciona una de cada calificación de arriba"
"Rating Information","Información de Calificación"
"Rating Name","Nombre de la Calificación"
"Rating Options","Opciones de Calificación"
"Rating Title","Titulo de la Calificación"
"Rating Visibility","Visibilidad de la Calificación"
"Rating isn't Available","Calificación no Disponible"
"Rating with the same title","Calificación con el mismo título"
"Save Rating","Guardar Calificación"
"Visible In","Visible En"
